"Table 2","","","","","","","","","","","","","",""
"Whole-rock trace element analyses of the Monte Santo Suite. Abbreviations as in Table 1.","","","","","","","","","","","","","",""
"Rock Type","NS","NS","NS","NS","NS","","AFS","","AFS","","AFS","","AFS","AFS"
"Massif","MSM","MSM","MSM","MSM","MSM","","MSM","","MSM","","MSM","","MSM","MSM"
"Sample no.","MS22B","MS88A","MS122A","MS336","MS400","","MS140","","MS293","","MS316C","","MS365","MS398"
"Rb","192","269","161","308","319","","198","","265","","291","","310","279"
"Cs","0.6","1","b 0.5","1.9","1.3","","1.2","","3.5","","1.8","","1.7","2"
"Sr","18","41","32","8","18","","102","","88","","92","","69","58"
"Ba","48","213","44","15","74","","787","","245","","70","","261","652"
"Ga","30","21","23","24","27","","42","","23","","17","","30","18"
"Y","2","11","17","14","4","","6","","7","","5","","13","4"
"Zr","412","246","131","318","643","","172","","380","","144","","164","69"
"Hf","10.7","4.7","3.3","7.2","13.2","","3.5","","6.7","","2.7","","3","1.3"
"Nb","39","106","72","62","99","","75","","74","","70","","75","62"
"Ta","4.6","6.3","6.1","4.5","11.9","","3.6","","5.7","","5.6","","6.5","2.5"
"Sn","8","9","8","8","8","","51","","27","","17","","21","12"
"Th","0.5","16.1","18.7","9","1.4","","9.8","","4.3","","1.1","","5.5","1.3"
"U","2","2.9","4.1","2.3","7.5","","1.5","","1.8","","0.6","","4.6","0.4"
"V","b 5","b 5","b 5","b 5","b 5","","b 5","","b 5","","b 5","","b 5","b 5"
"Zn","30","60","50","130","40","","50","","80","","110","","60","70"
"Pb","b 5","b 5","12","8","6","","b 5","","b 5","","15","","5","9"
"Tl","0.2","0.1","0.1","b 0.1","0.1","","0.6","","0.3","","0.3","","0.3","0.1"
"REE (ppm)","","","","","","","","","","","","","",""
"Sc","b 1","b 1","b 1","b 1","b 1","","b 1","","b 1","","b 1","","b 1","b 1"
"La","2.4","56.7","61.4","39.5","9.8","","45.7","","70.3","","30.9","","41.6","29.5"
"Ce","1.3","102","85.3","63.7","7.4","","71.3","","96.3","","46.3","","48.8","45"
"Pr","0.11","10.1","6.97","5.71","1.27","","6.65","","7.65","","4.09","","5.81","4.19"
"Nd","0.3","29.2","18.9","16.2","3.8","","19.6","","19.4","","11.4","","18.2","12.2"
"Sm","b 0.1","4.2","2.5","2.4","0.4","","2.7","","2.2","","1.5","","2.6","1.6"
"Eu","b 0.05","0.23","0.25","0.16","0.07","","0.6","","0.32","","0.36","","0.37","0.24"
"Gd","b 0.1","3.1","1.8","1.9","0.4","","1.9","","1.5","","0.9","","2.2","1"
"Tb","b 0.1","0.5","0.3","0.3","b 0.1","","0.3","","0.2","","0.1","","0.4","0.1"
"Dy","0.2","2.8","2.4","2","0.5","","1.5","","1.3","","0.9","","2.3","0.9"
"Ho","b 0.1","0.5","0.6","0.4","0.1","","0.2","","0.3","","0.2","","0.5","0.2"
"Er","0.3","1.5","2","1.4","0.5","","0.7","","1","","0.6","","1.4","0.5"
"Tm","0.1","0.24","0.36","0.25","0.1","","0.12","","0.17","","0.09","","0.22","0.09"
"Yb","1.1","1.7","2.7","1.8","0.8","","0.8","","1.3","","0.6","","1.5","0.6"
"Lu","0.31","0.24","0.39","0.34","0.14","","0.13","","0.24","","0.11","","0.22","0.1"
